year,comm_code,comm_name,service_name,n
2021,09H,09H,Bylaw - Vandalism and Property Damage Concerns,1
2021,09H,09H,CFD - Incident Report Request,1
2021,09H,09H,Corporate - Encampment Concerns,8
2021,09H,09H,Corporate - Graffiti Concerns,3
2021,09H,09H,CT - Bikes on Transit,1
2021,09H,09H,Law - Risk Management and Claims,1
2021,09H,09H,Parks - Mowing Request - WAM,1
2021,09H,09H,Parks - Pathway Concern - WAM,2
2021,09H,09H,Parks - Snow and Ice Concerns - WAM,1
2021,09H,09H,Parks - Tree Concern - WAM,1
2021,09H,09H,Roads - Bridge - Tunnel - Underpass Concern,2
2021,09H,09H,Roads - Dead Animal Pick-Up,2
2021,09H,09H,Roads - Debris on Street/Sidewalk/Boulevard,7
2021,09H,09H,Roads - Detour Inquiry,1
2021,09H,09H,Roads - Detour Urgent (Safety) Concerns,2
2021,09H,09H,Roads - Signs - Missing - Damaged,1
2021,09H,09H,Roads - Snow and Ice Control,3
2021,09H,09H,Roads - Traffic Signal Operation Report - Intersection Plan,1
2021,09H,09H,WATS - Manhole Concerns,1
2021,09H,09H,WATS - Spills Entering Storm System,1
2021,09K,09K,AS - Animal at Large,1
2021,09K,09K,AS - Animal Damaging Pet or Property,1
2021,09K,09K,AS - Lost and Found Animal,1
2021,09K,09K,AS - Rat Sighting,1
2021,09K,09K,Bylaw - Material on Public Property,2
2021,09K,09K,CBS Inspection - Commercial or Multi-Family,5
2021,09K,09K,CBS Inspection - Electrical,5
2021,09K,09K,CBS - RIM - Property Research,2
2021,09K,09K,CFD - Fire Code and General Inquiries - FHB,2
2021,09K,09K,CFD - Fire Code Hazard Complaint - FHB,2
2021,09K,09K,CFD - Inspection - Business Licence - FHB,2
2021,09K,09K,CFD - Inspection - Tank - FHB,1
2021,09K,09K,Finance - ONLINE TIPP Agreement Request,2
2021,09K,09K,N/A,2
2021,09K,09K,Parks - Community Inquiry,1
2021,09K,09K,Parks - Tree Concern - WAM,1
2021,09K,09K,Roads - Dead Animal Pick-Up,1
2021,09K,09K,Roads - Debris on Street/Sidewalk/Boulevard,1
2021,09K,09K,Roads - Employee Complaint - Compliment,1
2021,09K,09K,Roads Permits - Requests and Inquiries,1
2021,09K,09K,Roads - Pothole Maintenance,8
2021,09K,09K,Roads - Roadway Maintenance,6
2021,09K,09K,Roads - Snow and Ice Control,2
2021,09K,09K,Roads - Traffic or Pedestrian Light Repair,5
2021,09K,09K,Roads - Traffic Signal Lane Designation Sign,1
2021,09K,09K,Roads - Traffic Signal Timing Inquiry,2
2021,09K,09K,WRS - Commercial Collection Services,1
2021,09O,09O,After Hours Office of the Councillors - General Inquiry,2
2021,09O,09O,Animal / Bylaw - Information Request,2
2021,09O,09O,AS - Animal Licence - Concerns on Existing,3
2021,09O,09O,AS - Lost and Found Animal,3
2021,09O,09O,ASMT - Assessment General Concern - After Hours and Overflow,2
2021,09O,09O,AS - Pick Up Stray,1
2021,09O,09O,Bylaw - Material on Public Property,3
2021,09O,09O,Bylaw - Property Maintenance Concerns,2
2021,09O,09O,CBS Concern - Building Without a Permit,1
2021,09O,09O,CBS Inspection - Electrical,1
2021,09O,09O,CBS Inspection - Furnace Replacement,4
2021,09O,09O,CBS Inspection - Gas,1
2021,09O,09O,CBS Inspection - Plumbing,1
2021,09O,09O,CBS - RIM - Property Research,2
2021,09O,09O,CFD - Fire Code and General Inquiries - FHB,1
2021,09O,09O,CFD - Fire Code Hazard Complaint - FHB,1
2021,09O,09O,CFD - Incident Report Request,2
2021,09O,09O,CFD - Land Search - Property Search,1
2021,09O,09O,CN - Property Tax Assistance Program (PTAP),1
2021,09O,09O,CN - Senior Services Home Maintenance Inquiry,5
2021,09O,09O,CN - Subsidized Programs - Fair Entry,11
2021,09O,09O,CT - Transit Safety / Public Etiquette,1
2021,09O,09O,Finance - Accounts Payable,1
2021,09O,09O,Finance - Credit and Collection Inquiries,5
2021,09O,09O,Finance - ONLINE TIPP Agreement Request,2
2021,09O,09O,Finance - Property Tax Account Inquiry,18
2021,09O,09O,Finance - Tax Account Maintenance,1
2021,09O,09O,Finance - TIPP Agreement Request,8
2021,09O,09O,Parks - Wildlife Sightings,1
2021,09O,09O,Roads - Dead Animal Pick-Up,1
2021,09O,09O,Roads - Debris on Backlane,1
2021,09O,09O,Roads - Debris on Street/Sidewalk/Boulevard,6
2021,09O,09O,Roads - Fence - Noise Barrier - Retaining Wall Repair,1
2021,09O,09O,Roads - Pothole Maintenance,2
2021,09O,09O,Roads - Roadway Maintenance,2
2021,09O,09O,Roads - Snow and Ice Control,1
2021,09O,09O,Roads - Speed Education,1
2021,09O,09O,TP - Community Traffic - Cycling - Pedestrian Inquiries,1
2021,09O,09O,WATS - Hydrant Control Unit - HCU Inspections,1
2021,09O,09O,WATS - Spills Entering Storm System,1
2021,09O,09O,WRS - Cart Management,1
2021,09O,09O,WRS - New Service - Carts,1
2021,09P,09P,AS - Animal Noise,1
2021,09P,09P,ASMT - Assessment General Concern - After Hours and Overflow,3
2021,09P,09P,AS - Pick Up Stray,1
2021,09P,09P,Bylaw - Material on Public Property,7
2021,09P,09P,Bylaw - Noise Concerns,1
2021,09P,09P,CBS Concern - Building Without a Permit,1
2021,09P,09P,CBS - DCI - Vehicle Infractions,2
2021,09P,09P,CBS Inspection - Electrical,3
2021,09P,09P,CBS Inspection - Plumbing,1
2021,09P,09P,CBS Inspection - Residential Improvement Project - RIP,2
2021,09P,09P,CBS Inspection - SCP - New Home,1
2021,09P,09P,CBS - Planning and Development - After Hours SR,1
2021,09P,09P,CN - Subsidized Programs - Fair Entry,1
2021,09P,09P,Compliance - Business Licence Concern,1
2021,09P,09P,Finance - Property Tax Account Inquiry,4
2021,09P,09P,Finance - TIPP Agreement Request,1
2021,09P,09P,N/A,4
2021,09P,09P,Parks - Tree Concern - WAM,1
2021,09P,09P,Roads - Dead Animal Pick-Up,4
2021,09P,09P,Roads - Debris on Backlane,7
2021,09P,09P,Roads - Debris on Street/Sidewalk/Boulevard,6
2021,09P,09P,Roads - Permits - Requests and Inquiries,1
2021,09P,09P,Roads - Pothole Maintenance,9
2021,09P,09P,Roads - Roadway Maintenance,17
2021,09P,09P,Roads - Signs - Missing - Damaged,1
2021,09P,09P,Roads - Signs - Traffic and Roadmarking,3
2021,09P,09P,Roads - Snow and Ice Control,1
2021,09P,09P,Roads - Streetlight Damage,1
2021,09P,09P,Roads - Traffic Signal Timing Inquiry,1
